"mdl_url","title_en","title_zh","genres","Action","Adventure","Business","Comedy","Crime","Documentary","Drama","Family","Fantasy","Food","Historical","Horror","Law","Life","Martial Arts","Medical","Melodrama","Military","Music","Mystery","Political","Psychological","Romance","Sci-Fi","Sitcom","Sports","Supernatural","Thriller","Tokusatsu","War","Wuxia","Youth"
"/9025-nirvana-in-fire","Nirvana in Fire","琅琊榜","Military, Historical, Drama, Political",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"/697563-kai-duan","Reset","开端","Thriller, Mystery, Sci-Fi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"/28674-joy-of-life","Joy of Life","庆余年","Mystery, Romance, Wuxia, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"/28723-the-untamed","The Untamed","陈情令","Mystery, Wuxia, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"/729363-love-like-the-galaxy-part-2","Love Like the Galaxy: Part 2","月升沧海","Historical, Mystery, Romance, Political",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"/687167-xing-han-can-lan","Love Like the Galaxy: Part 1","星汉灿烂","Historical, Mystery, Romance, Political",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"/40911-go-ahead","Go Ahead","以家人之名","Comedy, Romance, Drama, Melodrama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/23911-the-story-of-ming-lan","The Story of Ming Lan","知否知否应是绿肥红瘦","Historical, Romance, Life, Drama",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/53117-cang-lan-jue","Love Between Fairy and Devil","苍兰诀","Comedy, Romance, Wuxia, Fantasy",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/683119-shao-nian-ge-xing","The Blood of Youth","少年歌行","Wuxia, Youth, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"/45437-qi-hun","Hikaru no Go","棋魂","Comedy, Drama, Sports, Supernatural",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
