"mdl_url","title_en","year","eps","title_zh","genres","tags"
"/9025-nirvana-in-fire","Nirvana in Fire",2015,54,"琅琊榜","Military, Historical, Drama, Political","Tragic Past, Power Struggle, Smart Male Lead, Hidden Identity, Scheme, War, Sibling Rivalry, Corruption, Political Intrigue, Revenge"
"/697563-kai-duan","Reset",2022,15,"开端","Thriller, Mystery, Sci-Fi","Time Loop, Investigation, Explosion, Suspense, Death, Flashback To Past, Slight Romance, Healthy Mains’ Relationship, Rescue Mission, Strangers To Lovers"
"/28674-joy-of-life","Joy of Life",2019,46,"庆余年","Mystery, Romance, Wuxia, Fantasy","Martial Arts, Strong Male Lead, Time Travel, Sword-fight, Power Struggle, Scheme, Sci-Fi, Comedy, Royalty, Murder"
"/28723-the-untamed","The Untamed",2019,50,"陈情令","Mystery, Wuxia, Fantasy","Male Centered Plot, Adapted From A Novel, Playful Male Lead, Strong Male Lead, Censored Adaptation Of Same-sex Original Work, Tragic Past, Soulmates, Xianxia, Smart Male Lead, Flashback To Past"
"/729363-love-like-the-galaxy-part-2","Love Like the Galaxy: Part 2",2022,29,"月升沧海","Historical, Mystery, Romance, Political","Slow Burn Romance, Revenge, Adapted From A Novel, Strong Male Lead, General Male Lead, Tragic Past, Character Development, Palace Setting, Family Relationship, Death"
"/687167-xing-han-can-lan","Love Like the Galaxy: Part 1",2022,27,"星汉灿烂","Historical, Mystery, Romance, Political","Slow Burn Romance, Adapted From A Novel, Strong Male Lead, Slice Of Life, Smart Female Lead, Strong Female Lead, Han Dynasty, Historical Fiction, Slow Burn Story, Slight Comedy"
"/40911-go-ahead","Go Ahead",2020,46,"以家人之名","Comedy, Romance, Drama, Melodrama","Depression, Child Abandonment, Meet Again, Mental Illness, Slice Of Life, Nice Male Lead, Male Chases Female First, Bromance, Tragic Past, Sismance"
"/23911-the-story-of-ming-lan","The Story of Ming Lan",2018,78,"知否知否应是绿肥红瘦","Historical, Romance, Life, Drama","Smart Female Lead, Scheme, Strong Female Lead, Slow Burn Romance, Calm Female Lead, Evil Mother-in-Law, Grandma-Granddaughter Relationship, Revenge, Male Chases Female First, Northern Song Dynasty"
"/53117-cang-lan-jue","Love Between Fairy and Devil",2022,36,"苍兰诀","Comedy, Romance, Wuxia, Fantasy","Bickering Mains' Relationship, Naive Female Lead, Strong Male Lead, Xianxia, Fate, Cold Man/Warm Woman, Cold-hearted Male Lead, Character Development, Innocent Female Lead, First Love"
"/683119-shao-nian-ge-xing","The Blood of Youth",2022,40,"少年歌行","Wuxia, Youth, Fantasy","Friendship, Adventure, Martial Arts, Action, Jianghu, Multiple Mains, Prince Male Lead, Adapted From A Novel, Historical"
"/45437-qi-hun","Hikaru no Go",2020,36,"棋魂","Comedy, Drama, Sports, Supernatural","Adapted From A Manga, Go Game, Bromance, Competition, Friendship, Character Development, Rivalry, Life Lesson, Master-Disciple Relationship, Found Family"
"/16547-eternal-love","Eternal Love",2017,58,"三生三世十里桃花","Romance, Wuxia, Drama, Fantasy","Male Chases Female First, Second Chance, Xianxia, Strong Male Lead, Strong Female Lead, Fate, Steamy Kiss, Older Woman/Younger Man, Adapted From A Novel, Arranged Marriage"
"/28565-the-tale-of-yanxi-palace","Story of Yanxi Palace",2018,70,"延禧攻略","Historical, Romance, Drama","Smart Female Lead, Strong Female Lead, Older Man/Younger Woman, Revenge, Sismance, Qing Dynasty, Harem, Qianlong Emperor, Royal Rules And Etiquette, Female Rivalry"
"/62337-you-are-my-glory","You Are My Glory",2021,32,"你是我的荣耀","Comedy, Romance, Life, Drama","First Love Returns, Famous Lead/Common Lead, Successful Female Lead, Friends To Lovers, Popular Female Lead, Meet Again, Steamy Kiss, Female Chases Male First, First Love, Ambition"
"/39661-love-and-redemption","Love and Redemption",2020,59,"琉璃","Romance, Wuxia, Drama, Fantasy","Hidden Identity, Xianxia, Steamy Kiss, First Love, Fated Love, Nice Male Lead, Reincarnation, Adapted From A Novel, Strong Female Lead, Tragic Past"
"/59487-sword-snow-stride","Sword Snow Stride",2021,38,"雪中悍刀行","Wuxia, Drama, Fantasy, Melodrama","Sword-fight, Martial Arts, Warrior Male Lead, Heir Male Lead, Cunning Protagonist, Genius Male Lead, Master-Servant Relationship, Scheme, Slight Romance, Strong Male Lead"
"/68429-the-lighter-and-the-princess-gown","Lighter & Princess",2022,36,"点燃我，温暖你","Business, Romance, Youth, Drama","Programmer Male Lead, Genius Male Lead, Bad Boy Male Lead, First Love, Revenge, Adapted From A Novel, University, Smart Female Lead, Slow Burn Romance, Steamy Kiss"
"/63781-love-your-bones-forever-2","One and Only",2021,24,"周生如故","Military, Romance, Wuxia, Political","Arranged Marriage, Slow Burn Romance, Lovers Separated, Forbidden Love, Master-Disciple Relationship, Hardworking Male Lead, Slight Romance, Difficult Childhood, No Kisses, Older Man/Younger Woman"
"/53953-princess-changge","The Long Ballad",2021,49,"长歌行","Action, Historical, Romance, War","Friends To Lovers, Character Development, Strong Female Lead, Adapted From A Manhua, Strong Male Lead, Smart Female Lead, Slow Burn Romance, Hidden Identity, Revenge, Cross-Dressing"
"/70249-lie-zui-tu-jian","Under the Skin",2022,20,"猎罪图鉴","Thriller, Mystery","Murder, Investigation, Death, Police Procedural, Deepfake, Domestic Violence, Elder Fraud, Plastic Surgery, Human Trafficking, School Bullying"
"/54851-try-the-world","Who Rules the World",2022,40,"且试天下","Romance, Wuxia, Fantasy","Strong Female Lead, Adapted From A Novel, Martial Arts, Sly Male Lead, Hidden Identity, Strong Male Lead, Royalty, Smart Female Lead, Historical, Prince Male Lead"
"/700341-qing-chuan-daily-life","New Life Begins",2022,40,"卿卿日常","Historical, Comedy, Romance, Life","Multiple Couples, Nice Male Lead, Arranged Marriage, Sismance, Cheerful Female Lead, Palace Setting, Concubine Female Lead, Friendship, Adapted From A Web Novel, Married Female Lead"
"/20566-nirvana-in-fire-2-the-wind-blows-in-chang-lin","Nirvana in Fire Season 2: The Wind Blows in Chang Lin",2017,50,"琅琊榜之风起长林","Military, Wuxia, Drama, Political","Bromance, Death, Scheme, Royalty, Father-Son Relationship, Revenge, Betrayal, War, Martial Arts, Adapted From A Novel"
"/51397-final-chronicles","Ultimate Note",2020,37,"终极笔记","Action, Adventure, Thriller, Mystery","Tomb Raiding, Bromance, Survival, Smart Male Lead, Adapted From A Novel, Teamwork, Calm Male Lead, Slight Comedy, Horror, Uncle-Nephew Relationship"
"/49241-falling-into-your-smile","Falling Into Your Smile",2021,31,"你微笑时很美","Comedy, Romance, Youth, Sports","Gaming, Teamwork, Smart Male Lead, Online Gamer Female Lead, Bromance, Competition, Online Gamer Male Lead, Professional Gaming, Online Gaming, Cohabitation"
"/49877-love-to-be-loved-by-you","You Are My Hero",2021,40,"你是我的城池营垒","Military, Romance, Drama, Medical","Adapted From A Novel, Male Chases Female First, Nice Male Lead, Military Police, Multiple Couples, Nice Female Lead, Love At First Sight, Healthy Mains’ Relationship, Earthquake, First Love"
"/31618-winter-begonia","Winter Begonia",2020,49,"鬓边不是海棠红","Historical, Business, Romance, Drama","Chinese Opera, Chinese Republican Era, Censored Adaptation Of Same-sex Original Work, Bromance, Adapted From A Novel, Soulmates, Performing Arts, Rich Male Lead, Hot-Tempered Male Lead, Slice Of Life"
"/5591-battle-of-changsha","Battle of Changsha",2014,32,"战长沙","Military, Historical, Romance, War","Tearjerker, Strong Female Lead, World War 2, Death, Older Man/Younger Woman, Adapted From A Novel, Nice Male Lead, Lovers Separated, Character Development, Gun Violence"
"/51571-cat-s-cradle","The Bad Kids",2020,12,"隐秘的角落","Adventure, Thriller, Mystery","Adapted From A Novel, Suspense, Web Series, Investigation, Death, Murder, Student, Age Gap [Drama Life], Age Gap [Real Life], Child Female Lead"
"/26385-three-lives-three-worlds-the-pillow-book","Eternal Love of Dream",2020,56,"三生三世枕上书","Romance, Wuxia, Drama, Fantasy","Xianxia, Adapted From A Novel, Female Chases Male First, Cold Man/Warm Woman, Older Man/Younger Woman, Nine-tailed Fox, Sword-fight, Steamy Kiss, Mythical Being, First Love"
"/23281-heavy-sweetness-ash-like-frost","Ashes of Love",2018,63,"香蜜沉沉烬如霜","Romance, Wuxia, Drama, Fantasy","Misunderstanding, Star Crossed Lovers, Sibling Rivalry, Xianxia, Love Triangle, Lovers Separated, Birth Secret, Hidden Identity, Tearjerker, Naive Female Lead"
"/59327-the-legend-of-gu-and-jue","Ancient Love Poetry",2021,49,"千古玦尘","Romance, Wuxia, Drama, Fantasy","Xianxia, Adapted From A Novel, Reincarnation, Nice Male Lead, Strong Female Lead, Cold Man/Warm Woman, Bromance, Action, Sismance, Multiple Couples"
"/38907-the-third-princess-from-the-rumors","The Romance of Tiger and Rose",2020,24,"传闻中的陈芊芊","Historical, Comedy, Romance, Fantasy","Feminist, Gender Politics, Parody, Male Chases Female First, Love/Hate Relationship, Matriarchy, Possessive Male Lead, Gender Role Reversal, Transmigration, Tsundere"
"/30867-special-forces","Glory of Special Forces",2022,45,"特战荣耀","Action, Military, Youth, Drama","Strong Male Lead, Coming Of Age, Adapted From A Novel, Tragic Past, Drug Smuggling, Post-traumatic Stress Disorder (PTSD), Commander Supporting Character, Police Department Setting, Death Of A Mother, Army Captain Supporting Character"
"/52897-lovely-us","Lovely Us",2020,16,"如此可爱的我们","Comedy, Romance, Life, Youth","First Love, Friends To Lovers, Fluffy, Male Chases Female First, Slow Burn Romance, Coming Of Age, Web Series, Friendship, Enemies To Lovers, Childhood Friends' Relationship"
"/33767-crossfire","Cross Fire",2020,36,"穿越火线","Action, Youth, Sci-Fi, Sports","Gaming, Time Altering, Disability, Adapted From Video Game, Bromance, Esports, Mystery, Gamer, Friendship, Slight Romance"
"/59021-tian-ya-ke","Word of Honor",2021,36,"山河令","Mystery, Wuxia, Fantasy, Political","Hidden Identity, Censored Adaptation Of Same-sex Original Work, Antihero, Adapted From A Novel, Jianghu, Martial Arts, Badass Male Lead, Playful Male Lead, Revenge, Tragic Past"
"/76433-secrets-in-the-lattice","Our Secret",2021,24,"暗格里的秘密","Romance, Life, Youth","High School To College, Friends To Lovers, First Love, High School, University, Shy Female Lead, Secret Crush, Friendship, Adapted From A Novel, Strict Parents"
"/50395-forever-love","Forever Love",2020,28,"百岁之好，一言为定","Comedy, Romance, Youth, Drama","Healthy Mains’ Relationship, Calm Male Lead, Friendship, Fluffy, High School To Working Life, Smart Male Lead, Smart Female Lead, Friends To Lovers, Multiple Couples, Campus Setting"
"/67269-the-moment-of-meeting-again","Shining for One Thing",2022,24,"一闪一闪亮星星","Mystery, Romance, Youth, Fantasy","Suspense, Time Travel, Secret Crush, High School, Friendship, Investigation, Flashback To Past, Slight Comedy, Alternate Universe, Protective Male Lead"
"/24018-the-kings-avatar","The King’s Avatar",2019,40,"全职高手","Action, Youth, Sports","Online Gaming, Smart Male Lead, Game, Competition, Professional Gaming, Sismance, Hardworking Female Lead, Tournament, Bromance, Esports Industry"
"/54335-my-small-indeed-fortunate","My Little Happiness",2021,28,"我的小确幸","Comedy, Law, Romance, Drama","Male Chases Female First, Adapted From A Novel, First Love, Childhood Crush, Fluffy, Steamy Kiss, Healthy Mains’ Relationship, Secondary Couple, Internship, Smart Female Lead"
