"title_en","mdl_url","year","eps"
"Nirvana in Fire","/9025-nirvana-in-fire","2015","54"
"Reset","/697563-kai-duan","2022","15"
"Joy of Life","/28674-joy-of-life","2019","46"
"The Untamed","/28723-the-untamed","2019","50"
"Love Like the Galaxy: Part 2","/729363-love-like-the-galaxy-part-2","2022","29"
"Love Like the Galaxy: Part 1","/687167-xing-han-can-lan","2022","27"
"Go Ahead","/40911-go-ahead","2020","46"
"The Story of Ming Lan","/23911-the-story-of-ming-lan","2018","78"
"Love Between Fairy and Devil","/53117-cang-lan-jue","2022","36"
"The Blood of Youth","/683119-shao-nian-ge-xing","2022","40"
"Hikaru no Go","/45437-qi-hun","2020","36"
"Eternal Love","/16547-eternal-love","2017","58"
"Story of Yanxi Palace","/28565-the-tale-of-yanxi-palace","2018","70"
"You Are My Glory","/62337-you-are-my-glory","2021","32"
"Love and Redemption","/39661-love-and-redemption","2020","59"
"Sword Snow Stride","/59487-sword-snow-stride","2021","38"
"Lighter & Princess","/68429-the-lighter-and-the-princess-gown","2022","36"
"One and Only","/63781-love-your-bones-forever-2","2021","24"
"The Long Ballad","/53953-princess-changge","2021","49"
"Under the Skin","/70249-lie-zui-tu-jian","2022","20"
"Who Rules the World","/54851-try-the-world","2022","40"
"New Life Begins","/700341-qing-chuan-daily-life","2022","40"
"Nirvana in Fire Season 2: The Wind Blows in Chang Lin","/20566-nirvana-in-fire-2-the-wind-blows-in-chang-lin","2017","50"
"Ultimate Note","/51397-final-chronicles","2020","37"
"Falling Into Your Smile","/49241-falling-into-your-smile","2021","31"
"You Are My Hero","/49877-love-to-be-loved-by-you","2021","40"
"Winter Begonia","/31618-winter-begonia","2020","49"
"Battle of Changsha","/5591-battle-of-changsha","2014","32"
"The Bad Kids","/51571-cat-s-cradle","2020","12"
"Eternal Love of Dream","/26385-three-lives-three-worlds-the-pillow-book","2020","56"
"Ashes of Love","/23281-heavy-sweetness-ash-like-frost","2018","63"
"Ancient Love Poetry","/59327-the-legend-of-gu-and-jue","2021","49"
"The Romance of Tiger and Rose","/38907-the-third-princess-from-the-rumors","2020","24"
"Glory of Special Forces","/30867-special-forces","2022","45"
"Lovely Us","/52897-lovely-us","2020","16"
"Cross Fire","/33767-crossfire","2020","36"
"Word of Honor","/59021-tian-ya-ke","2021","36"
"Our Secret","/76433-secrets-in-the-lattice","2021","24"
"Forever Love","/50395-forever-love","2020","28"
"Shining for One Thing","/67269-the-moment-of-meeting-again","2022","24"
"The King’s Avatar","/24018-the-kings-avatar","2019","40"
"My Little Happiness","/54335-my-small-indeed-fortunate","2021","28"
"Arsenal Military Academy","/30919-arsenal-military-academy","2019","48"
"Remembrance of Things Past","/687517-wo-zai-ta-xiang-ting-hao-de","2021","12"
"Le Coup de Foudre","/27234-le-coup-de-foudre","2019","35"
"The Day of Becoming You","/66743-the-day-of-becoming-you","2021","26"
"Guardian","/26035-guardian","2018","40"
"Go Go Squid!","/27467-go-go-squid","2019","41"
"Reunion: The Sound of the Providence Season 2","/70645-reunion-the-sound-of-the-providence-season-2","2020","30"
"The Prince of Tennis","/31194-the-prince-of-tennis","2019","42"
"Love Is Sweet","/49871-love-is-sweet","2020","36"
"Legally Romance","/692791-cai-bu-yao-he-lao-ban-tan-lian-ai","2022","33"
"The Long Night","/49485-the-long-night","2020","12"
"The Longest Day in Chang'an","/28435-the-longest-day-in-chang-an","2019","48"
"To Fly With You","/70237-accompany-you-to-fly-by-the-wind","2021","35"
"Legend of Concubine Zhen Huan","/4474-legend-of-concubine-zhen-huan","2012","76"
"Killer And Healer","/33779-hen-jun-bu-si-jiang-lou-yue","2021","37"
"The Imperial Coroner","/50135-the-imperial-coroner","2021","36"
"The Sleuth of Ming Dynasty","/33272-the-story-of-ming-dynasty","2020","48"
"A Dream of Splendor","/76169-bian-liang-meng-hua-tu","2022","40"
"Under the Power","/25650-beneath-the-embroidered-uniform","2019","55"
"Time and Him Are Just Right","/706623-shi-guang-yu-ta-qia-shi-zheng-hao","2022","25"
"Forever and Ever","/61865-love-your-bones-forever","2021","30"
"The Blue Whisper: Part 2","/688563-the-blue-whisper-part-2","2022","20"
"The Rise of Phoenixes","/21032-the-rise-of-phoenixes","2018","70"
"A Murderous Affair in Horizon Tower","/37243-a-murderous-affair-in-horizon-tower","2020","16"
"Ever Night","/27178-ever-night","2018","60"
"Skate Into Love","/34030-skate-into-love","2020","40"
"Goodbye My Princess: Director's Cut","/59749-goodbye-my-princess-director-s-cut","2019","55"
"Sweet Teeth","/63959-sweet-teeth","2021","22"
"Falling Into You","/686115-chi-dao","2022","26"
"Fall In Love","/53549-fall-in-love","2021","36"
"The Bond","/61969-qiao-jia-de-er-nu","2021","36"
"The Rebel Princess","/28037-emperor-phoenix","2021","68"
"Put Your Head on My Shoulder","/31385-put-your-head-on-my-shoulder","2019","24"
"The Blue Whisper: Part 1","/64085-yu-jiao-ji","2022","22"
"Love Scenery","/52895-love-scenery","2021","31"
"Immortal Samsara: Part 1","/72025-chen-xiang-ru-xie","2022","38"
"Douluo Continent","/33701-douluo-continent","2021","40"
"Crush","/63989-crush","2021","24"
"Hi Venus","/710595-hi-venus","2022","24"
"My Roommate Is a Detective","/34129-my-roommate-is-a-detective","2020","36"
"Medical Examiner Dr. Qin","/20284-medical-examiner-dr.-qin","2016","20"
"Love and Destiny","/29240-the-fate-of-chen-xi","2019","60"
"Unforgettable Love","/66371-unforgettable-love","2021","24"
"When We Were Young","/26895-ren-bu-biao-han-wang-shao-nian","2018","24"
"A River Runs Through It","/51565-a-river-runs-through-it","2021","36"
"Legend of Fu Yao","/23171-legend-of-fu-yao","2018","66"
"Moonlight","/66455-moonlight","2021","36"
"Love Me If You Dare","/13857-love-me-if-you-dare","2015","24"
"Maiden Holmes","/40353-maiden-holmes","2020","32"
"The Princess Wei Young","/15338-the-princess-wei-young","2016","54"
